idx,image,start_s,dur_s,transition,blur,intro,outro,kb_s0,kb_s1,kb_x0,kb_x1,kb_y0,kb_y1
1,hinh-nen-truy-kich-CrossFire-15.jpg,0.000,9.800,dissolve-ii,3,fade-in,,0.789622,0.899676,0.000000,0.000000,0.000000,0.000000
2,hinh-nen-ahri-dep-26.jpg,9.800,16.400,whirlpool,3,,,0.842943,0.842943,-0.085903,0.085903,0.000000,0.000000
3,hinh_nen_phong_canh (277).jpg,26.200,8.300,blur,3,,,0.744087,0.876139,-0.067779,0.067779,-0.067779,0.067779
4,hinh-nen-cf-dep-11.jpg,34.500,13.400,black-fade,3,,,0.821340,0.724774,0.145515,-0.145515,-0.145515,0.145515
5,4.jpg,47.900,13.000,shutter,3,,,0.771423,0.885065,0.072124,-0.072124,0.072124,-0.072124
6,25.jpg,60.900,10.800,glitch,3,,,0.862770,0.862770,0.000000,0.000000,-0.088494,0.088494
7,hinh-anh-lien-quan-16.jpg,71.700,9.800,page-turning,3,,,0.760807,0.900665,-0.074313,0.074313,0.079536,-0.079536
8,hinh-anh-miss-fortune-8.jpg,81.500,7.500,shutter,3,,,0.817463,0.731619,0.000000,0.000000,0.000000,0.000000
9,hinh-anh-nen-hd-tuong-lol-cam-dao-cuc-dep_034644349.jpg,89.000,10.800,shutter,3,,,0.739251,0.873210,0.000000,0.000000,0.000000,0.000000
10,5.png,99.800,11.700,flip-ii,3,,,0.779572,0.779572,-0.168383,0.168383,0.000000,0.000000
11,hinh-anh-miss-fortune-40.jpg,111.500,12.700,black-fade,3,,,0.734352,0.851094,-0.069531,0.069531,-0.069531,0.069531
12,33.jpg,124.200,15.100,split,3,,,0.871812,0.789902,0.091858,-0.091858,-0.091858,0.091858
13,hinh-nen-anime-attack-on-titan-cuc-dep_011945276.jpg,139.300,15.500,whirlpool,3,,,0.792924,0.912652,0.071157,-0.071157,0.071157,-0.071157
14,8.jpg,154.800,9.500,whirlpool,3,,,0.723772,0.723772,0.000000,0.000000,-0.159130,0.159130
15,hinh-nen-4k-khi-cau-scaled.jpg,164.300,13.100,flip-ii,3,,,0.763648,0.871262,-0.092163,0.092163,0.092163,-0.092163
16,43.jpg,177.400,10.000,whirlpool,3,,,0.839127,0.762307,0.000000,0.000000,0.000000,0.000000
17,hinh-nen-ahri-dep-17.jpg,187.400,15.900,flip-ii,3,,,0.820431,0.882288,0.000000,0.000000,0.000000,0.000000
18,hinh-nen-cf-dep-19.jpg,203.300,7.400,whirlpool,3,,,0.805191,0.805191,-0.163421,0.163421,0.000000,0.000000
19,hinh-nen-game-cao-boi_061015483.jpg,210.700,8.800,black-fade,3,,,0.792384,0.894849,-0.077205,0.077205,-0.077205,0.077205
20,hinh-nen-games-11.jpg,219.500,16.900,blur,3,,,0.855582,0.767969,0.096289,-0.096289,-0.096289,0.096289
21,hinh-nen-game-mo-phong_061017671.jpg,236.400,10.400,blur,3,,,0.750687,0.813710,0.085868,-0.085868,0.085868,-0.085868
22,hinh-anh-xin-zhao-25.jpg,246.800,14.800,dissolve-ii,3,,,0.829859,0.829859,0.000000,0.000000,-0.105401,0.105401
23,37.png,261.600,10.600,black-fade,3,,,0.788901,0.895288,-0.052356,0.052356,0.052356,-0.052356
24,hinh-anh-lien-quan-30.jpg,272.200,8.200,dissolve-ii,3,,,0.894509,0.801455,0.000000,0.000000,0.000000,0.000000
25,hinh-nen-game-doc-dao_061016108.jpg,280.400,9.000,whirlpool,3,,,0.782476,0.867237,0.000000,0.000000,0.000000,0.000000
26,hinh-nen-anime-dep_092518782.jpg,289.400,13.000,dissolve,3,,,0.750792,0.750792,-0.208737,0.208737,0.000000,0.000000
27,0106_hinh-nen-4k-may-tinh12-scaled.jpg,302.400,16.600,shutter,3,,,0.721556,0.850007,-0.085642,0.085642,-0.085642,0.085642
28,hinh-anh-xin-zhao-4.jpg,319.000,8.800,dissolve,3,,,0.817459,0.736396,0.151475,-0.151475,-0.151475,0.151475
29,hinh-nen-games-2.jpg,327.800,9.700,whirlpool,3,,,0.771708,0.839513,0.080107,-0.080107,0.080107,-0.080107
30,hinh-anh-xin-zhao-23.jpg,337.500,7.800,glitch,3,,,0.810798,0.810798,0.000000,0.000000,-0.120698,0.120698
31,41.jpg,345.300,15.100,gradient-wipe,3,,,0.807661,0.912526,-0.065560,0.065560,0.070862,-0.070862
32,hinh-nen-hd-cuc-dep-hai-sat-thu_034654693.jpg,360.400,13.900,glitch,3,,,0.873043,0.765540,0.000000,0.000000,0.000000,0.000000
33,hinh-anh-xin-zhao-34.jpg,374.300,13.400,gradient-wipe,3,,,0.738063,0.857321,0.000000,0.000000,0.000000,0.000000
34,hinh-nen-truy-kich-CrossFire-4.jpg,387.700,12.500,split,3,,,0.813191,0.813191,-0.095401,0.095401,0.000000,0.000000
35,hinh-anh-miss-fortune-28.jpg,400.200,15.500,glitch,3,,,0.794711,0.917334,-0.058865,0.058865,-0.058865,0.058865
36,hinh-nen-truy-kich-CrossFire-11.jpg,415.700,12.400,blur,3,,,0.844024,0.761380,0.103856,-0.103856,-0.103856,0.103856
37,hinh-nen-ahri-dep-30.jpg,428.100,10.500,whirlpool,3,,,0.784269,0.858570,0.117960,-0.117960,0.117960,-0.117960
38,hinh-nen-ashe-dep-2.jpg,438.600,15.900,whirlpool,3,,,0.821805,0.821805,0.000000,0.000000,-0.132174,0.132174
39,hinh-anh-xin-zhao-5.jpg,454.500,15.400,flip-ii,3,,,0.764433,0.874363,-0.084382,0.084382,0.084669,-0.084669
40,hinh-nen-thien-nhien-dep-va-an-tuong-nhat_014903285.jpg,469.900,8.600,blur,3,,,0.856741,0.733697,0.000000,0.000000,0.000000,0.000000
41,hinh-anh-nen-hd-cuc-dep-tuong-lol_034643271.jpg,478.500,12.900,gradient-wipe,3,,,0.770276,0.904744,0.000000,0.000000,0.000000,0.000000
